Index       TIME             V(IN_1)          V(OUT_1)          I(VROW_1)    
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-07    1.57079374e-04    1.52348447e-04   -1.52348447e-08
2        1.50000000e-06    4.71231922e-04    4.57039327e-04   -4.57039327e-08
3        3.50000000e-06    1.09946880e-03    1.06635493e-03   -1.06635493e-07
4        7.50000000e-06    2.35532254e-03    2.28438477e-03   -2.28438477e-07
5        1.55000000e-05    4.86177470e-03    4.71534744e-03   -4.71534744e-07
6        2.55000000e-05    7.97683012e-03    7.73658343e-03   -7.73658343e-07
7        3.55000000e-05    1.10604046e-02    1.07272867e-02   -1.07272867e-06
8        4.55000000e-05    1.41003288e-02    1.36756542e-02   -1.36756542e-06
9        5.55000000e-05    1.70846054e-02    1.65700502e-02   -1.65700502e-06
10       6.55000000e-05    2.00014569e-02    1.93990518e-02   -1.93990518e-06
11       7.55000000e-05    2.28393717e-02    2.21514943e-02   -2.21514943e-06
12       8.55000000e-05    2.55871500e-02    2.48165149e-02   -2.48165149e-06
13       9.55000000e-05    2.82339475e-02    2.73835961e-02   -2.73835961e-06
14       1.00000000e-04    2.93892626e-02    2.85041155e-02   -2.85041155e-06
End of Xyce(TM) Simulation
