Index       TIME             V(IN_1)           V(IN_2)           V(IN_3)          V(OUT_1)          V(OUT_2)          V(OUT_3)          I(VROW_1)         I(VROW_2)         I(VROW_3)        I(RLOAD_1)        I(RLOAD_2)        I(RLOAD_3)    
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-12    5.00000000e-04    5.00000000e-04    5.00000000e-04    4.76303318e-04    2.08700301e-04    4.55357143e-04   -2.77752769e-08   -5.88846172e-08   -2.73761821e-08    4.76303318e-08    2.08700301e-08    4.55357143e-08
2        1.50000000e-11    1.50000000e-03    1.50000000e-03    1.50000000e-03    1.42890995e-03    6.26100902e-04    1.36607143e-03   -8.33258306e-08   -1.76653852e-07   -8.21285462e-08    1.42890995e-07    6.26100902e-08    1.36607143e-07
3        3.50000000e-11    3.50000000e-03    3.50000000e-03    3.50000000e-03    3.33412322e-03    1.46090211e-03    3.18750000e-03   -1.94426938e-07   -4.12192320e-07   -1.91633274e-07    3.33412322e-07    1.46090211e-07    3.18750000e-07
4        7.50000000e-11    7.50000000e-03    7.50000000e-03    7.50000000e-03    7.14454976e-03    3.13050451e-03    6.83035714e-03   -4.16629153e-07   -8.83269258e-07   -4.10642731e-07    7.14454976e-07    3.13050451e-07    6.83035714e-07
5        1.55000000e-10    1.55000000e-02    1.55000000e-02    1.55000000e-02    1.47654028e-02    6.46970932e-03    1.41160714e-02   -8.61033583e-07   -1.82542313e-06   -8.48661644e-07    1.47654028e-06    6.46970932e-07    1.41160714e-06
6        3.15000000e-10    3.15000000e-02    3.15000000e-02    3.15000000e-02    3.00071090e-02    1.31481190e-02    2.86875000e-02   -1.74984244e-06   -3.70973088e-06   -1.72469947e-06    3.00071090e-06    1.31481190e-06    2.86875000e-06
7        6.35000000e-10    6.35000000e-02    6.35000000e-02    6.35000000e-02    6.04905213e-02    2.65049382e-02    5.78303571e-02   -3.52746016e-06   -7.47834638e-06   -3.47677512e-06    6.04905213e-06    2.65049382e-06    5.78303571e-06
8        1.00000000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
9        1.06400000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
10       1.19200000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
11       1.44800000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
12       1.96000000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
13       2.98400000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
14       5.03200000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
15       9.12800000e-09    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
16       1.73200000e-08    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
17       3.37040000e-08    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
18       6.64720000e-08    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
19       1.32008000e-07    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
20       2.63080000e-07    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
21       5.25224000e-07    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
22       1.00100000e-06    1.00000000e-01    1.00000000e-01    1.00000000e-01    9.52606635e-02    4.17400602e-02    9.10714286e-02   -5.55505537e-06   -1.17769234e-05   -5.47523641e-06    9.52606635e-06    4.17400602e-06    9.10714286e-06
