Index       TIME             V(IN_1)           V(IN_2)           V(IN_3)          V(OUT_1)          V(OUT_2)          V(OUT_3)          I(VROW_1)         I(VROW_2)         I(VROW_3)        I(RLOAD_1)        I(RLOAD_2)        I(RLOAD_3)    
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        2.50000000e-11    5.00000000e-04    0.00000000e+00    5.00000000e-04    4.75435816e-04    4.75285171e-05    3.01204819e-06   -2.87289671e-08    4.86029609e-09   -2.87289671e-08    4.75435816e-08    4.75285171e-09    3.01204819e-10
2        7.50000000e-11    1.50000000e-03    0.00000000e+00    1.50000000e-03    1.42630745e-03    1.42585551e-04    9.03614458e-06   -8.61869014e-08    1.45808883e-08   -8.61869014e-08    1.42630745e-07    1.42585551e-08    9.03614458e-10
3        1.75000000e-10    3.50000000e-03    0.00000000e+00    3.50000000e-03    3.32805071e-03    3.32699620e-04    2.10843373e-05   -2.01102770e-07    3.40220727e-08   -2.01102770e-07    3.32805071e-07    3.32699620e-08    2.10843373e-09
4        3.75000000e-10    7.50000000e-03    0.00000000e+00    7.50000000e-03    7.13153724e-03    7.12927757e-04    4.51807229e-05   -4.30934507e-07    7.29044414e-08   -4.30934507e-07    7.13153724e-07    7.12927757e-08    4.51807229e-09
5        7.75000000e-10    1.55000000e-02    0.00000000e+00    1.55000000e-02    1.47385103e-02    1.47338403e-03    9.33734940e-05   -8.90597981e-07    1.50669179e-07   -8.90597981e-07    1.47385103e-06    1.47338403e-07    9.33734940e-09
6        1.57500000e-09    3.15000000e-02    0.00000000e+00    3.15000000e-02    2.99524564e-02    2.99429658e-03    1.89759036e-04   -1.80992493e-06    3.06198654e-07   -1.80992493e-06    2.99524564e-06    2.99429658e-07    1.89759036e-08
7        3.17500000e-09    6.35000000e-02    0.00000000e+00    6.35000000e-02    6.03803487e-02    6.03612167e-03    3.82530120e-04   -3.64857882e-06    6.17257604e-07   -3.64857882e-06    6.03803487e-06    6.03612167e-07    3.82530120e-08
8        5.00000000e-09    1.00000000e-01    0.00000000e+00    1.00000000e-01    9.50871632e-02    9.50570342e-03    6.02409639e-04   -5.74579342e-06    9.72059219e-07   -5.74579342e-06    9.50871632e-06    9.50570342e-07    6.02409639e-08
9        5.32000000e-09    1.00000000e-01    0.00000000e+00    1.00000000e-01    9.50871632e-02    9.50570342e-03    6.02409639e-04   -5.74579342e-06    9.72059219e-07   -5.74579342e-06    9.50871632e-06    9.50570342e-07    6.02409639e-08
