Index       TIME              V(IN)             I(V1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-05    3.92682933e-01   -4.21541350e-04
2        3.00000000e-05    1.17766127e+00   -1.26469094e-03
3        5.00000000e-05    1.96147739e+00   -2.10777327e-03
4        7.00000000e-05    2.74335778e+00   -2.95022478e-03
5        9.00000000e-05    3.52253080e+00   -3.79201916e-03
6        1.30000000e-04    5.06968238e+00   -5.47288705e-03
7        1.70000000e-04    6.59682625e+00   -7.14888216e-03
8        2.10000000e-04    8.09793545e+00   -8.81853078e-03
9        2.50000000e-04    9.56708581e+00   -1.04803587e-02
10       2.90000000e-04    1.09984792e+01   -1.21329264e-02
11       3.30000000e-04    1.23864667e+01   -1.37748004e-02
12       3.70000000e-04    1.37255704e+01   -1.54045901e-02
13       4.10000000e-04    1.50105056e+01   -1.70209202e-02
14       4.50000000e-04    1.62362012e+01   -1.86224681e-02
15       4.90000000e-04    1.73978199e+01   -2.02079530e-02
16       5.30000000e-04    1.84907774e+01   -2.17760992e-02
17       5.70000000e-04    1.95107602e+01   -2.33257749e-02
18       6.10000000e-04    2.04537429e+01   -2.48558128e-02
19       6.50000000e-04    2.13160041e+01   -2.63652225e-02
20       6.90000000e-04    2.20941408e+01   -2.78530008e-02
21       7.30000000e-04    2.27850819e+01   -2.93183485e-02
22       7.70000000e-04    2.33861008e+01   -3.07604870e-02
23       8.10000000e-04    2.38948254e+01   -3.21788817e-02
24       8.50000000e-04    2.43092480e+01   -3.35730689e-02
25       8.90000000e-04    2.46277332e+01   -3.49428918e-02
26       9.30000000e-04    2.48490239e+01   -3.62883443e-02
27       9.70000000e-04    2.49722469e+01   -3.76098298e-02
28       1.01000000e-03    2.49969158e+01   -3.89080354e-02
29       1.05000000e-03    2.49229333e+01   -4.01842332e-02
30       1.09000000e-03    2.47505914e+01   -4.14402118e-02
31       1.13000000e-03    2.44805703e+01   -4.26786587e-02
32       1.17000000e-03    2.41139355e+01   -4.39032047e-02
33       1.21000000e-03    2.36521340e+01   -4.51189657e-02
34       1.25000000e-03    2.30969883e+01   -4.63328117e-02
35       1.29000000e-03    2.24506894e+01   -4.75542230e-02
36       1.33000000e-03    2.17157879e+01   -4.87959931e-02
37       1.37000000e-03    2.08951840e+01   -5.00756605e-02
38       1.41000000e-03    1.99921165e+01   -5.14169083e-02
39       1.45000000e-03    1.90101491e+01   -5.28516504e-02
40       1.49000000e-03    1.79531574e+01   -5.44214431e-02
41       1.53000000e-03    1.68253128e+01   -5.61771181e-02
42       1.57000000e-03    1.56310664e+01   -5.81702508e-02
43       1.61000000e-03    1.43751313e+01   -6.04228146e-02
44       1.65000000e-03    1.30624641e+01   -6.28430440e-02
45       1.69000000e-03    1.16982454e+01   -6.50535694e-02
46       1.73000000e-03    1.02878590e+01   -6.61417952e-02
47       1.77000000e-03    8.83687109e+00   -6.47171711e-02
48       1.81000000e-03    7.35100813e+00   -5.95837178e-02
49       1.85000000e-03    5.83613410e+00   -5.06682076e-02
50       1.89000000e-03    4.29822751e+00   -3.88944592e-02
51       1.93000000e-03    2.74335778e+00   -2.54006970e-02
52       1.97000000e-03    1.17766127e+00   -1.10200232e-02
53       2.01000000e-03   -3.92682933e-01    3.64937367e-03
54       2.05000000e-03   -1.96147739e+00    1.72899186e-02
55       2.08600000e-03   -3.36694974e+00    2.70062570e-02
56       2.12200000e-03   -4.76165828e+00    3.39873553e-02
57       2.15800000e-03   -6.14114428e+00    3.87403789e-02
58       2.19400000e-03   -7.50099766e+00    4.19219805e-02
59       2.23000000e-03   -8.83687109e+00    4.40312035e-02
60       2.26600000e-03   -1.01444939e+01    4.54243789e-02
61       2.30200000e-03   -1.14196859e+01    4.63156660e-02
62       2.33800000e-03   -1.26583702e+01    4.68598427e-02
63       2.37400000e-03   -1.38565870e+01    4.71405392e-02
64       2.41000000e-03   -1.50105056e+01    4.72306494e-02
65       2.44600000e-03   -1.61164372e+01    4.71621176e-02
66       2.48200000e-03   -1.71708462e+01    4.69748195e-02
67       2.51800000e-03   -1.81703616e+01    4.66792183e-02
68       2.55400000e-03   -1.91117883e+01    4.63009361e-02
69       2.59000000e-03   -1.99921165e+01    4.58407917e-02
70       2.62600000e-03   -2.08085318e+01    4.53177593e-02
71       2.66200000e-03   -2.15584244e+01    4.47279966e-02
72       2.69800000e-03   -2.22393969e+01    4.40871588e-02
73       2.73400000e-03   -2.28492723e+01    4.33890080e-02
74       2.77000000e-03   -2.33861008e+01    4.26474504e-02
75       2.80600000e-03   -2.38481663e+01    4.18549605e-02
76       2.84200000e-03   -2.42339916e+01    4.10244914e-02
77       2.87800000e-03   -2.45423432e+01    4.01478108e-02
78       2.91400000e-03   -2.47722355e+01    3.92373501e-02
79       2.95000000e-03   -2.49229333e+01    3.82844952e-02
80       2.98600000e-03   -2.49939551e+01    3.73014024e-02
81       3.02200000e-03   -2.49850737e+01    3.62792627e-02
82       3.05800000e-03   -2.48963175e+01    3.52300959e-02
83       3.09400000e-03   -2.47279703e+01    3.41449959e-02
84       3.13000000e-03   -2.44805703e+01    3.30359060e-02
85       3.16600000e-03   -2.41549083e+01    3.18938475e-02
86       3.20200000e-03   -2.37520255e+01    3.07306793e-02
87       3.23800000e-03   -2.32732098e+01    2.95373119e-02
88       3.27400000e-03   -2.27199921e+01    2.83254568e-02
89       3.31000000e-03   -2.20941408e+01    2.70858339e-02
90       3.34600000e-03   -2.13976567e+01    2.58299212e-02
91       3.38200000e-03   -2.06327665e+01    2.45481695e-02
92       3.41800000e-03   -1.98019154e+01    2.32517664e-02
93       3.45400000e-03   -1.89077595e+01    2.19308730e-02
94       3.49000000e-03   -1.79531574e+01    2.05964134e-02
95       3.52600000e-03   -1.69411609e+01    1.92383391e-02
96       3.56200000e-03   -1.58750052e+01    1.78674436e-02
97       3.59800000e-03   -1.47580987e+01    1.64736386e-02
98       3.63400000e-03   -1.35940121e+01    1.50678203e-02
99       3.67000000e-03   -1.23864667e+01    1.36400609e-02
100      3.70600000e-03   -1.11393231e+01    1.22015542e-02
101      3.74200000e-03   -9.85656811e+00    1.07427428e-02
102      3.77800000e-03   -8.54230270e+00    9.27525005e-03
103      3.81400000e-03   -7.20072840e+00    7.78997861e-03
104      3.85000000e-03   -5.83613410e+00    6.29901524e-03
105      3.88600000e-03   -4.45288226e+00    4.79370337e-03
106      3.92200000e-03   -3.05539500e+00    3.28652453e-03
107      3.95800000e-03   -1.64813995e+00    1.76915226e-03
108      3.99400000e-03   -2.35615961e-01    2.54318956e-04
109      4.01329360e-03    5.22000501e-01   -5.60626482e-04
110      4.03065784e-03    1.20346525e+00   -1.29295539e-03
111      4.04802208e-03    1.88403472e+00   -2.02501351e-03
112      4.08275056e-03    3.24046371e+00   -3.48798849e-03
113      4.11747904e-03    4.58725196e+00   -4.94862524e-03
114      4.15220752e-03    5.92039262e+00   -6.40594815e-03
115      4.18693600e-03    7.23591943e+00   -7.85898677e-03
116      4.22166448e-03    8.52991855e+00   -9.30677861e-03
117      4.25639296e-03    9.79854020e+00   -1.07483699e-02
118      4.29112143e-03    1.10380101e+01   -1.21828186e-02
119      4.32584991e-03    1.22446406e+01   -1.36091953e-02
120      4.36057839e-03    1.34148420e+01   -1.50265930e-02
121      4.39530687e-03    1.45451326e+01   -1.64340969e-02
122      4.43003535e-03    1.56321498e+01   -1.78308561e-02
123      4.46476383e-03    1.66726596e+01   -1.92159933e-02
124      4.49949231e-03    1.76635664e+01   -2.05887071e-02
125      4.53422079e-03    1.86019220e+01   -2.19481763e-02
126      4.56894927e-03    1.94849348e+01   -2.32936629e-02
127      4.60367775e-03    2.03099777e+01   -2.46244180e-02
128      4.63840623e-03    2.10745961e+01   -2.59397854e-02
129      4.67313471e-03    2.17765152e+01   -2.72391092e-02
130      4.70786319e-03    2.24136466e+01   -2.85218397e-02
131      4.74259167e-03    2.29840949e+01   -2.97874432e-02
132      4.77732015e-03    2.34861630e+01   -3.10355105e-02
133      4.81204863e-03    2.39183570e+01   -3.22656706e-02
134      4.84677711e-03    2.42793911e+01   -3.34777044e-02
135      4.88150558e-03    2.45681913e+01   -3.46714636e-02
136      4.91623406e-03    2.47838984e+01   -3.58469921e-02
137      4.95096254e-03    2.49258705e+01   -3.70044555e-02
138      4.98569102e-03    2.49936854e+01   -3.81442744e-02
139      5.02041950e-03    2.49871411e+01   -3.92670707e-02
140      5.05514798e-03    2.49062573e+01   -4.03738236e-02
141      5.08987646e-03    2.47512745e+01   -4.14658446e-02
142      5.12460494e-03    2.45226539e+01   -4.25449727e-02
143      5.15933342e-03    2.42210756e+01   -4.36136021e-02
144      5.19406190e-03    2.38474368e+01   -4.46749488e-02
145      5.22879038e-03    2.34028492e+01   -4.57331738e-02
146      5.26351886e-03    2.28886355e+01   -4.67937791e-02
147      5.29824734e-03    2.23063254e+01   -4.78639036e-02
148      5.33297582e-03    2.16576515e+01   -4.89529455e-02
149      5.36770430e-03    2.09445436e+01   -5.00731441e-02
150      5.40243278e-03    2.01691233e+01   -5.12405359e-02
151      5.43716125e-03    1.93336976e+01   -5.24758546e-02
152      5.47188973e-03    1.84407519e+01   -5.38055916e-02
153      5.50661821e-03    1.74929429e+01   -5.52622563e-02
154      5.54134669e-03    1.64930904e+01   -5.68827281e-02
155      5.57607517e-03    1.54441691e+01   -5.87006414e-02
156      5.61080365e-03    1.43492996e+01   -6.07251003e-02
157      5.64553213e-03    1.32117393e+01   -6.28902336e-02
158      5.68026061e-03    1.20348726e+01   -6.49610340e-02
159      5.71498909e-03    1.08222008e+01   -6.63945120e-02
160      5.74971757e-03    9.57733165e+00   -6.63106865e-02
161      5.78444605e-03    8.30396888e+00   -6.37362796e-02
162      5.81917453e-03    7.00590086e+00   -5.81641873e-02
163      5.85390301e-03    5.68698949e+00   -4.98301157e-02
164      5.88863149e-03    4.35115868e+00   -3.94569598e-02
165      5.92335997e-03    3.00238268e+00   -2.77876441e-02
166      5.95808845e-03    1.64467424e+00   -1.53911502e-02
167      5.99281692e-03    2.82072715e-01   -2.65013028e-03
168      6.00143986e-03   -5.65429339e-02    5.31007047e-04
169      6.01868572e-03   -7.33680991e-01    6.83285939e-03
170      6.03593158e-03   -1.41028067e+00    1.28485373e-02
171      6.05317744e-03   -2.08584546e+00    1.83698057e-02
172      6.07042330e-03   -2.75987965e+00    2.32710999e-02
173      6.10491502e-03   -4.10137923e+00    3.11210262e-02
174      6.13940674e-03   -5.43084250e+00    3.66400559e-02
175      6.17389846e-03   -6.74436789e+00    4.04079092e-02
176      6.20839018e-03   -8.03810061e+00    4.29558948e-02
177      6.24288190e-03   -9.30824394e+00    4.46704971e-02
178      6.27737363e-03   -1.05510704e+01    4.58106552e-02
179      6.31186535e-03   -1.17629327e+01    4.65457579e-02
180      6.34635707e-03   -1.29402743e+01    4.69870534e-02
181      6.38084879e-03   -1.40796401e+01    4.72082436e-02
182      6.41534051e-03   -1.51776865e+01    4.72596401e-02
183      6.44983223e-03   -1.62311909e+01    4.71757185e-02
184      6.48432395e-03   -1.72370618e+01    4.69812083e-02
185      6.51881568e-03   -1.81923470e+01    4.66936054e-02
186      6.55330740e-03   -1.90942433e+01    4.63261595e-02
187      6.58779912e-03   -1.99401037e+01    4.58884646e-02
188      6.62229084e-03   -2.07274460e+01    4.53882374e-02
189      6.65678256e-03   -2.14539595e+01    4.48311359e-02
190      6.69127428e-03   -2.21175121e+01    4.42220371e-02
191      6.72576600e-03   -2.27161566e+01    4.35645240e-02
192      6.76025772e-03   -2.32481360e+01    4.28619410e-02
193      6.79474945e-03   -2.37118891e+01    4.21167299e-02
194      6.82924117e-03   -2.41060551e+01    4.13313805e-02
195      6.86373289e-03   -2.44294771e+01    4.05076935e-02
196      6.89822461e-03   -2.46812060e+01    3.96476785e-02
197      6.93271633e-03   -2.48605030e+01    3.87527790e-02
198      6.96720805e-03   -2.49668420e+01    3.78247426e-02
199      7.00169977e-03   -2.49999109e+01    3.68648233e-02
200      7.03619149e-03   -2.49596126e+01    3.58746340e-02
201      7.07068322e-03   -2.48460654e+01    3.48553334e-02
202      7.10517494e-03   -2.46596026e+01    3.38084634e-02
203      7.13966666e-03   -2.44007713e+01    3.27351228e-02
204      7.17415838e-03   -2.40703311e+01    3.16367922e-02
205      7.20865010e-03   -2.36692518e+01    3.05144952e-02
206      7.24314182e-03   -2.31987104e+01    2.93696135e-02
207      7.27763354e-03   -2.26600878e+01    2.82030401e-02
208      7.31212527e-03   -2.20549648e+01    2.70159907e-02
209      7.34661699e-03   -2.13851171e+01    2.58091581e-02
210      7.38110871e-03   -2.06525105e+01    2.45835294e-02
211      7.41560043e-03   -1.98592951e+01    2.33395526e-02
212      7.45009215e-03   -1.90077987e+01    2.20779702e-02
213      7.48458387e-03   -1.81005202e+01    2.07990062e-02
214      7.51907559e-03   -1.71401221e+01    1.95032213e-02
215      7.55356731e-03   -1.61294230e+01    1.81907195e-02
216      7.58805904e-03   -1.50713889e+01    1.68620191e-02
217      7.62255076e-03   -1.39691249e+01    1.55172694e-02
218      7.65704248e-03   -1.28258657e+01    1.41571178e-02
219      7.69153420e-03   -1.16449664e+01    1.27819502e-02
220      7.72602592e-03   -1.04298927e+01    1.13926864e-02
221      7.76051764e-03   -9.18421048e+00    9.99006488e-03
222      7.79500936e-03   -7.91157535e+00    8.57538565e-03
223      7.82950109e-03   -6.61572215e+00    7.14977982e-03
224      7.86399281e-03   -5.30045381e+00    5.71493156e-03
225      7.89848453e-03   -3.96963024e+00    4.27232841e-03
226      7.93297625e-03   -2.62715701e+00    2.82396696e-03
227      7.96746797e-03   -1.27697387e+00    1.37158982e-03
228      8.00195969e-03    7.69568040e-02   -8.26192712e-05
229      8.01920555e-03    7.54085895e-01   -8.09966219e-04
230      8.03331675e-03    1.30774849e+00   -1.40507792e-03
231      8.04742794e-03    1.86076858e+00   -1.99998254e-03
232      8.07565033e-03    2.96379491e+00   -3.18906167e-03
233      8.10387272e-03    4.06099747e+00   -4.37672876e-03
234      8.13209511e-03    5.15022028e+00   -5.56246064e-03
235      8.16031750e-03    6.22932306e+00   -6.74573192e-03
236      8.18853989e-03    7.29618540e+00   -7.92602705e-03
237      8.21676229e-03    8.34871094e+00   -9.10282605e-03
238      8.24498468e-03    9.38483151e+00   -1.02756209e-02
239      8.27320707e-03    1.04025111e+01   -1.14439004e-02
240      8.30142946e-03    1.13997502e+01   -1.26071667e-02
241      8.32965185e-03    1.23745890e+01   -1.37649204e-02
242      8.35787424e-03    1.33251121e+01   -1.49166769e-02
243      8.38609663e-03    1.42494517e+01   -1.60619516e-02
244      8.41431902e-03    1.51457916e+01   -1.72002765e-02
245      8.44254141e-03    1.60123705e+01   -1.83311855e-02
246      8.47076380e-03    1.68474854e+01   -1.94542313e-02
247      8.49898619e-03    1.76494956e+01   -2.05689706e-02
248      8.52720858e-03    1.84168250e+01   -2.16749812e-02
249      8.55543097e-03    1.91479659e+01   -2.27718478e-02
250      8.58365336e-03    1.98414816e+01   -2.38591794e-02
251      8.61187575e-03    2.04960093e+01   -2.49365948e-02
252      8.64009814e-03    2.11102630e+01   -2.60037411e-02
253      8.66832053e-03    2.16830356e+01   -2.70602796e-02
254      8.69654292e-03    2.22132016e+01   -2.81059045e-02
255      8.72476531e-03    2.26997194e+01   -2.91403301e-02
256      8.75298770e-03    2.31416328e+01   -3.01633097e-02
257      8.78121009e-03    2.35380736e+01   -3.11746241e-02
258      8.80943248e-03    2.38882628e+01   -3.21741020e-02
259      8.83765487e-03    2.41915122e+01   -3.31616094e-02
260      8.86587726e-03    2.44472260e+01   -3.41370720e-02
261      8.89409965e-03    2.46549017e+01   -3.51004673e-02
262      8.92232204e-03    2.48141312e+01   -3.60518490e-02
263      8.95054443e-03    2.49246017e+01   -3.69913423e-02
264      8.97876683e-03    2.49860960e+01   -3.79191733e-02
265      9.00698922e-03    2.49984934e+01   -3.88356687e-02
266      9.03521161e-03    2.49617694e+01   -3.97412919e-02
267      9.06343400e-03    2.48759963e+01   -4.06366505e-02
268      9.09165639e-03    2.47413426e+01   -4.15225430e-02
269      9.11987878e-03    2.45580728e+01   -4.23999795e-02
270      9.14810117e-03    2.43265472e+01   -4.32702439e-02
271      9.17632356e-03    2.40472205e+01   -4.41349371e-02
272      9.20454595e-03    2.37206418e+01   -4.49960655e-02
273      9.23276834e-03    2.33474527e+01   -4.58561186e-02
274      9.26099073e-03    2.29283865e+01   -4.67182017e-02
275      9.28921312e-03    2.24642667e+01   -4.75861686e-02
276      9.31743551e-03    2.19560052e+01   -4.84648231e-02
277      9.34565790e-03    2.14046009e+01   -4.93601357e-02
278      9.37388029e-03    2.08111371e+01   -5.02795415e-02
279      9.40210268e-03    2.01767800e+01   -5.12322602e-02
280      9.43032507e-03    1.95027761e+01   -5.22296813e-02
281      9.45854746e-03    1.87904498e+01   -5.32857050e-02
282      9.48676985e-03    1.80412008e+01   -5.44169691e-02
283      9.51499224e-03    1.72565014e+01   -5.56426112e-02
284      9.54321463e-03    1.64378935e+01   -5.69830118e-02
285      9.57143702e-03    1.55869856e+01   -5.84562146e-02
286      9.59965941e-03    1.47054496e+01   -6.00697559e-02
287      9.62788180e-03    1.37950179e+01   -6.18039402e-02
288      9.65610419e-03    1.28574794e+01   -6.35816038e-02
289      9.68432658e-03    1.18946763e+01   -6.52238139e-02
290      9.71254898e-03    1.09085005e+01   -6.63957731e-02
291      9.74077137e-03    9.90088987e+00   -6.66099557e-02
292      9.76899376e-03    8.87382422e+00   -6.53113741e-02
293      9.79721615e-03    7.82932176e+00   -6.20967833e-02
294      9.82543854e-03    6.76943492e+00   -5.68814578e-02
295      9.85366093e-03    5.69624632e+00   -4.99127340e-02
296      9.88188332e-03    4.61186477e+00   -4.15979339e-02
297      9.91010571e-03    3.51842103e+00   -3.23523800e-02
298      9.93832810e-03    2.41806370e+00   -2.25050826e-02
299      9.96655049e-03    1.31295494e+00   -1.23043019e-02
300      1.00000000e-02    1.53080944e-14    3.62500503e-07
End of Xyce(TM) Simulation
